cle,emplacement_source,datetime_ingestion,privacy_level,nom_entreprise,nro_avis,site_web,taille,date_fondation,secteur,revenu,type_entreprise
29482907952033667037429053181412055145,13668-INFO-SOC-GLASSDOOR-E1127933_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2021-03-21,0                                                 ,cerema                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , 13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,www.cerema.fr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,De 1 001 à 5 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Ne sait pas / non applicable par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
275646187787067581246269349828187834445,13563-INFO-SOC-GLASSDOOR-E13082_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2021-03-21,0                                                 ,CEGID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , 106                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,www.cegid.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,De 1 001 à 5 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 1983                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Solutions logicielles et réseau d'entreprise                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Entre 100 et 500 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
134878128802354828897416413171582311678,13771-INFO-SOC-GLASSDOOR-E1125581_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2021-03-21,0                                                 ,Adthink-Media                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,www.adthink-media.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,De 51 à 200 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 2001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Entre 1 et 5 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
85658221003813312929299219814936743889,13712-INFO-SOC-GLASSDOOR-E3041003_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2021-03-21,0                                                 ,Crédit Agricole d'Aquitaine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,www.credit-agricole.fr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,De 1 001 à 5 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Ne sait pas / non applicable par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Entreprise cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
277620216711181239324509007649067427980,13727-INFO-SOC-GLASSDOOR-E1261010_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2021-03-21,0                                                 ,Mixt Composites Recyclables                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,www.m-c-r.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Ne sait pas / non applicable par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
126110254771353271742838269063113904528,13758-INFO-SOC-GLASSDOOR-E5694_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,2021-03-21,0                                                 ,OpenText                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ," 1,7k                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",www.opentext.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Plus de 10 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 1992                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Solutions logicielles et réseau d'entreprise                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Entre 2 et 5 milliards € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , Entreprise cotée en bourse (OTEX)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
197990549105890392546535350885017151352,13790-INFO-SOC-GLASSDOOR-E9028_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,2021-03-21,0                                                 ,Gfi Informatique                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 463                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,www.gfi.world                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Plus de 10 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 1995                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Services informatiques                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entre 1 et 2 milliards € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , Entreprise cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
24380394727095301418802763377867815576,13762-INFO-SOC-GLASSDOOR-E253138_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2021-03-21,0                                                 ,Artefact Group                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , 22                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,www.artefactgroup.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,De 51 à 200 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 2006                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Conseils                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Entre 10 et 25 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
252186305028731374997055536536769050442,13546-INFO-SOC-GLASSDOOR-E12966_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2021-03-21,0                                                 ,Devoteam                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , 512                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,https://fr.devoteamcareers.com/fr/                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,De 1 001 à 5 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 1995                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Services informatiques                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entre 100 et 500 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Entreprise cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
3580643347652186864138547910619959254,13792-INFO-SOC-GLASSDOOR-E33451_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2021-03-21,0                                                 ,GFI Software                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , 57                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,www.gfi.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,De 51 à 200 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 1992                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Matériel et logiciels informatiques                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Ne sait pas / non applicable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
